春秋經傳集解昭四第二十三杜氏盡十七年經十有三年春叔弓帥師圍費	不書南蒯以費叛不以告廟費音秘
〇夏四月楚公子比自晉歸于楚弑其君䖍于乾谿	比去晉而不送書歸者依陳蔡以入言陳蔡猶列國也比歸而靈王死故書弒其君靈王無道而弑稱臣比非首謀而反書弑比雖脅立猶以罪加也靈王死在五月又不在乾谿楚人生失靈王故本其始禍以赴之谿苦兮切
〇楚公子棄疾殺公子比	比雖爲君而未列於諸侯故不稱爵殺不稱人罪棄疾
〇秋公會劉子晉侯齊侯宋公衛侯鄭伯曹伯莒子邾子滕子薛伯𣏌伯小邾子于平丘	平丘在陳留長垣縣西南垣音袁
〇八月甲戍同盟于平丘	書同齊服故
○公不與盟	魯不堪晉求讒慝弘多公不與盟非國惡故不諱與音預慝他得切
〇晉人執季孫意如以歸〇公至自會	無傳
〇蔡侯廬歸于蔡	廬音盧又力居切
〇陳侯吴歸于陳	陳蔡皆受封于楚故稱爵諸侯納之曰歸
〇冬十月葬蔡靈公	蔡復而後以君禮葬之
〇公如晉至河乃復	晉人辭公
〇呉滅州來	州來楚邑用大師焉日滅
傅十三年春叔弓圍費弗克敗焉	爲費人所敗不書諱之
平子怒令見費人執之以爲囚俘冶區夫曰非也	區夫魯大夫俘芳夫切冶音也區烏侯切又丘于切
若見費人寒者衣之飢者食之爲之令主而共其乏困費來如歸南氏亡矣民將叛之誰與居邑若憚之以威懼之以怒民疾而叛爲之聚也若諸侯皆然費人無歸不親南氏將焉入矣平子從之費人叛南氏	費叛南氏在明年傳善區夫之謀終言其效衣於旣切食音嗣共音恭憚待旦切爲于僞切焉於䖍切效户孝切
〇楚子之爲令尹也殺大司馬薳掩而取其室	在襄三十年薳于委切掩於檢切
及即位奪薳居田	居掩之族言薳氏所以怨
遷許而質許圍	遷許在九年圍許大夫質音致
蔡洧有寵於王王之滅蔡也其父死焉	楚滅蔡在十一年洧仕楚其父在國故死洧于軌切
王使與於守而行	使洧守國王行至乾谿與音預守手又切
申之會越大夫戮焉	申會在四年
王奪鬪韋龜中犫	韋龜令尹子文玄孫中犫邑名犫尺州切
又奪成然邑而使爲郊尹	成然韋龜子郊尹治郊竟大夫竟音境
蔓成然故事蔡公	蔡公棄疾也故猶舊也韋龜以棄疾有當璧之命故使成然事之蔓音萬
故薳氏之族及薳居許圍蔡洧蔓成然皆王所不禮也因羣喪職之族啓越大夫常壽過作亂	常壽過申會所戮者喪息浪切過古禾切
圍固城克息舟城而居之	息舟楚邑城之堅固者
觀起之死也其子從在蔡事朝呉	觀起死在襄二十二年朝呉故蔡大夫聲子之子從如字朝如字
曰今不封蔡蔡不封矣我請試之	觀從以父死怨楚故欲弑作亂
以蔡公之命召子于子晳	二子皆靈王弟元年子干奔晉子晳奔鄭晳星歷切
及郊而告之情	告以蔡公不知謀
彊與之盟入襲蔡蔡公將食見之而逃	不知其故驚起辟之彊其丈切
觀從使子干食坎用牲加書而速行	使子干居蔡公之牀食蔡公之食並僞與蔡公盟之徵驗以示衆
己徇於蔡	己觀從也己音紀徇似俊切
曰蔡公召二子將納之與之盟而遣之矣將師而從之	許言蔡公將以師助二子
蔡人聚將執之	執觀從
辭曰失賊成軍而殺余何益乃釋之	賊謂子干子晳也言蔡公巳成軍殺已不解罪
朝具曰二三子若能死亡則如違之以待所濟	言若能爲靈王死亡則可違蔡公之命以待成敗如何爲干僞切
若求安定則如與之以濟所欲	言與蔡公則可得安定
且違上何適而可	言不可違上也上謂蔡公
衆曰與之乃奉蔡公召二子而盟于鄧	潁川召陵縣西南有鄧城二子子干子晳
依陳蔡人以國	國陳蔡而依之
楚公子比	子干
公子黒肱	子晳肱古弘切
公子棄疾	蔡公
蔓成然蔡朝呉帥陳蔡不羹許葉之師因四族之徒	四族薳氏許圍蔡洧蔓成然羹音郎葉始渉切
