春秋經傳集解定上第二十七	定公名宋襄公之子昭公之弟謚法安民大慮曰定
杜氏盡七年經元年春王	公之始年而不書正月公即位在六月故
○三月晉人執宋仲幾于京師	晉執人于天子之側而不以歸京師故但書其執不書所歸幾音機
○夏六月癸亥公之喪至自乾侯	告於廟故書至
○戊辰公即位	定公不得以正月即位失其時故詳而日之記事之冝無義例
○秋七月癸巳葬我君昭公	公在外薨故八月乃葬
○九月大雩	無傳過也雩音于
○立焬宫	焬公伯禽子也其廟巳毀季氏禱之而立其宫書以譏之煬羊讓切禱丁老切
○冬十月隕霜殺菽	無傳周十月今八月隕霜殺菽非常之災隕于敏切菽本又作叔音同
傳元年春王正月辛巳晉魏舒合諸侯之大夫于狄泉將以城成周魏子涖政	涖臨也代天子大夫為政涖音利又音類
衛彪傒	衛大夫
曰將建天子	立天子之居
而易位以令非義也大事奸義必有大咎晉不失諸侯魏子其不免乎是行也魏獻子屬役於韓簡子及原壽過	簡子韓起孫不信也原壽過周大夫奸音干咎其九切屬之欲切過古禾切
而田於大陸焚焉	禹貢大陸在鉅鹿北嫌絶逺疑此田在汲郡呉澤荒蕪之地火田并見燒也爾雅廣平曰陸蕪音無
還卒於寗	寗今脩武縣近呉澤近附近之近
范獻子去其柏椁以其未復命而田也	范獻子代魏子爲政去其柏椁示貶之去起吕切椁音郭
孟懿子㑹城成周	不書公未即位
庚寅栽	栽設板築栽才代切又音再
宋仲幾不受功曰滕薛郳吾役也	欲使三國伐宋受功役也郳小邾郳五兮切
薛宰曰宋爲無道絶我小國於周以我適楚故我常從宋晉文公爲踐土之盟	在僖二十八年
曰凡我同盟各復舊職若從踐土若從宋亦唯命仲幾曰踐土固然	固曰從舊薛舊爲宋役
薛宰曰薛之皇祖奚仲居薛以爲夏車正	皇大也美仲爲夏禹掌車服大夫夏戸雅切
奚仲遷于邳	邳下邳縣邳皮悲切
仲虺居薛以爲湯左相	仲虺奚仲之後虺許鬼切相息亮切
若復舊職將承王官何故以役諸侯	承奉也
仲幾曰三代各異物薛焉得有舊	言居周丗不得以夏殷爲舊焉於䖍切
爲宋役亦其職也士彌牟曰晉之從政者新	言范獻子新爲政未習故事
子姑受功歸吾視諸故府	求故事
仲幾曰縱子忘之山川鬼神其忘諸乎	山川鬼神盟所告
士伯怒謂韓簡子曰薛徴於人	典籍故事人所知也
宋徴於鬼	取證於鬼神
宋罪大矣且巳無辭而抑我以神誣我也啓寵納侮其此之謂矣	開寵過分則納受侵侮侮亡甫切分扶問切
必以仲幾爲戮乃執仲幾以歸三月歸諸京師	知以歸不可故復歸之京師復扶又切
城三旬而畢乃歸諸侯之戍齊髙張後不從諸侯	後期不及諸侯之役
晉女叔寛曰周萇弘齊髙張皆將不免	叔寛女寛也萇直良切
萇叔違天髙子違人	天旣厭周德萇弘欲遷都以延其祚故曰違天諸侯相帥以崇天子而髙子後期故曰違人厭於豔切祚才故切
天之所壊不可支也衆之所爲不可奸也	爲哀三年周人殺萇弘六年髙張來奔起
○夏叔孫成子逆公之喪于乾侯	成子叔孫婼之子
季孫曰子家子亟言於我未甞不中吾志也吾欲與之從政子必止之且聽命焉	衆士皆諮問子家子亟起兾切中丁仲切
子家子不見叔孫易幾而哭	幾哭㑹也不欲見叔孫故朝夕哭不同㑹朝如字
