春秋經傳集解定下第二十八杜氏盡十五年經八年春王正月公侵齊	報前年伐我西鄙
○公至自侵齊	無傳
○二月公侵齊	未得志故
○三月公至自侵齊	無傳
○曹伯露卒	無傳四年盟臯鼬鼬由又切
○夏齊國夏帥師伐我西鄙○公㑹晉師于瓦	瓦衛地將來敕魯公逆㑹之東郡燕縣東北有瓦亭夏戸雅切年末注同瓦顔寡切燕音煙
○公至目瓦	無傳
○秋七月戊辰陳侯柳卒	無傳四年盟臯鼬柳力乆切本或作抑
○晉士鞅帥師侵鄭遂侵衛	兩事故曰遂
○葬曹靖公	無傳
○九月葬陳懷公	無傳三月而葬速
○季孫斯仲孫何忌帥師侵衛○冬衛侯鄭伯盟于曲濮	無傳結叛晉曲濮衛地濮音卜
○從祀先公	從順也先公閔公僖公也將正二公之位次所順非一親盡故通言先公
○盗竊寳玉大弓	盗謂陽虎也家臣賤名氏不見故曰盗寳玉夏后氏之璜大弓封父之繁弱見賢遍切璜音黃父音甫
傳八年春王正月公侵齊門于陽州	攻其門
士皆坐列	言無鬪志
曰顔髙之弓六鈞	顔髙魯人三十斤爲鈞六鈞百八十斤古稱重故以爲異彊鈞音均稱尺證切彊其丈切
皆取而傳觀之陽州人出顔髙奪人弱弓籍丘子鉏擊之與一人俱斃	子鉏齊人斃仆也傳直專切鉏仕居切與一人俱斃婢丗切顔高與一人俱爲子鉏所擊而仆仆音赴又蒲北切孫炎云前覆曰仆
偃且射子鉏中頰殪	子鉏死且如字射食亦切下同中丁仲切煩古協切殪於計切死也言顔髙雖爲子鉏所擊偃仆且射子鉏中頰而死言其善射也一讀且音子餘切云偃旦人姓名也撿丗族譜無此人一讀者非也
顔息射人中眉	顔息魯人
退曰我無勇吾志其目也	以自矜
師退冉猛僞傷足而先	猛魯人欲先歸先悉薦切
其兄㑹乃呼曰猛也殿	㑹見師退而猛不在列乃大呼詐言猛有後爲殿傳言魯無軍政呼火故切殿丁電切注同
○二月已丑單子伐榖城劉子伐儀栗	討儋翩之黨榖城在河南縣西單音善儋丁甘切翩音篇
辛卯單子伐簡城劉子伐盂以定王室	傳終王室之亂盂音于
○趙鞅	丁掌切
言於晉侯曰諸侯唯宋事晉好逆其使猶懼不至今又執之是絶諸侯也將歸樂祁士鞅曰三年止之無故而歸之宋必叛晉	執樂祁在六年好呼報切使所吏切
獻子私謂子梁	獻子范鞅子梁樂祁
曰寡君懼不得事宋君是以止子子姑使溷代子	溷樂祁子溷侯温切又侯困切
子梁以告陳寅陳寅曰宋將叛晉是棄溷也不如待之	留待勿以子自代
樂祁歸卒于大行	大行晉東南山大音泰行戸郎切一音衡
士鞅曰宋必叛不如止其尸以求成焉乃止諸州	州晉地爲明年宋公使樂大心如晉張本
○公侵齊攻廪丘之郛	郛郭也廪力甚切郛芳夫切
主人焚衝	衝戰車衝昌容切說文作輕云陷陣車也
或濡馬褐以救之	馬褐馬衣濡人于切褐尸葛切
遂毀之	毀郛
主人出師奔	攻郭人少故遣後師走往助之
陽虎僞不見冉猛者曰猛在此必敗	陽州之役猛先歸言若在此必復敗復扶又切
猛逐之顧而無繼僞顚	逐廪丘人
虎曰盡客氣也	言皆客氣非勇客如字
苫越生子將待事而名之	苫越苫夷苫式占切注同
陽州之役獲焉名之曰陽州	欲自比僑如僑其驕切
○夏齊國夏髙張伐我西鄙	報上二侵
晉士鞅趙鞅荀寅救我	救不書齊師巳去未入竟竟音境
公㑹晉師于瓦范獻子執羔趙簡子中行文子皆執鴈魯於是始尚羔	獻子士鞅也簡子趙鞅也中行文子荀寅也禮卿執羔大夫執鴈魯則同之今始知執羔之尊也卿不書禮不敵公史略之行戸郎切
○晉師將盟衛侯于鄟澤	自瓦還就衛地盟剸音專又市轉切本亦作剸音同
趙簡子曰羣臣誰敢盟衛君者	前年衛叛晉屬齊簡子意欲摧辱之
渉佗成何曰我能盟之	二子晉大夫佗徒何切
衛人請執牛耳	盟禮尊者涖牛耳主次盟者衛侯與晉大夫盟自以當涖牛耳故請之
成何曰衛吾温原也焉得視諸侯	言衛小可比晉縣不得從諸侯禮焉於䖍切
將歃渉佗捘衛侯之手及捥	捘擠也血至捥歃所洽切捘子對切捥烏喚切擠子計切又子禮切說文云排也
衛侯怒王孫賈趨進	賈衛大夫
曰盟以信禮也	信猶明也
有如衛君其敢不唯禮是事而受此盟也	言晉無禮不欲受其盟
衛侯欲叛晉而患諸大夫王孫賈使次于郊大夫問故	問不入故
公以晉詬語之	詬恥也詬呼豆切語魚據切
且曰寡人辱社稷其改卜嗣寡人從焉	使改卜他公子以嗣先君我從大夫所立
大夫曰是衛之禍豈君之過也公曰又有患焉謂寡人必以而子與大夫之子爲質	爲質於晉質音致下同
大夫曰苟有益也公子則往羣臣之子敢不皆負覊絏以從將行王孫賈曰苟衛國有難工商未甞不爲患使皆行而後可	欲以激怒國人絏息列切從才用切下注從弟下從者同難乃旦切激古狄切
公以告大夫乃皆將行之行有日	有期日
公朝國人使賈問焉曰若衛叛晉晉五伐我病何如矣皆曰五伐前驅林楚御桓子虞人以鈹盾夾之陽越殿	越陽虎從弟鈹普皮切盾食允切又音允夾古洽切殿丁見切
將如蒲圃桓子咋謂林楚	咋暫也咋仕詐切
曰而先皆季氏之良也爾以是繼之	欲使林楚免已於難以繼其先人之良難乃旦切
對曰臣聞命後	後猶晚也
陽虎爲政魯國服焉違之徴死死無益於主桓子曰何後之有而能以我適孟氏乎對曰不敢愛死懼不免主桓子曰往也	言必往
孟氏選圉人之壯者三百人以爲公期築室於門外	實欲以備難不欲使人知故僞築室於門外因得聚衆公期孟氏支子圉魚吕切爲于僞切
林楚怒馬及衢而騁	騁馳也騁勑領切
