春秋經傳集解哀上第二十九	哀公名蔣定公之子蓋夫人定姒所生敬王二十八年即位謚法恭仁短折曰哀
杜氏盡十三年經元年春王正月公即位	無傳
○楚子陳侯隨侯許男圍蔡	隨丗服於楚不通中國呉之入楚昭王奔隨隨人免之卒復楚國楚人德之使列於諸侯故得見經定六年鄭滅許此復見者蓋楚封之見賢遍切復扶又切
○鼷䑕食郊牛改卜牛夏四月辛巳郊	無傳書過也不言所食所食非一處處昌慮切
○秋齊侯衛侯伐晉○冬仲孫何忌帥師伐邾	無傳
傳元年春楚子圍蔡報柏舉也	在定四年
里而栽	栽設板築爲圍壘周帀去蔡城一里栽才代切又音再注同說文云築牆長版壘力軌切帀子合切
廣丈髙倍	壘厚一丈髙二丈廣古曠切髙倍並如字髙又古報切厚古豆切
夫屯晝夜九日	夫猶兵也壘未成故令人在壘裏屯守蔡屯徒門切注同屯守也令力呈切
如子西之素	子西本計爲壘當用九日而成
蔡人男女以辨	辨别也男女各别係纍而出降辨扶免切又方免切別彼列切纍力維切降戸江切
使疆于江汝之間而還	楚欲使蔡徙國在江水之北汝水之南求田以自安也蔡權聽命故楚師還疆居良切
蔡於是乎請遷于呉	楚旣還蔡人更叛楚就呉爲明年蔡遷州來傳
○呉王夫差敗越于夫椒報檇李也	檇李在定十四年夫椒呉郡呉縣西南大湖中椒山夫音扶椒作子消切檇音醉大音泰
遂入越越子以甲楯五千保于㑹稽	上㑹稽山也㑹稽在山隂縣南楯食允切又音允㑹古外切稽古兮切上時掌切
使大夫種因呉大宰嚭以行成呉子將許之伍貟曰不可臣聞樹德莫如滋去疾莫如盡昔有過澆殺斟灌以伐斟鄩	澆寒浞子封於過者二斟夏同姓諸侯襄四年傳曰澆用師滅斟灌嚭普鄙切貟音云去起吕切一本又作去惡過古禾切國名澆五叫切又五報切斟之林切灌古亂切鄩音尋浞仕捉切夏戸雅切
滅夏后相	夏后相啓孫也后相失國依於二㪸復爲澆所滅相息亮切復扶又切
后緍方娠逃出自竇	后緍相妻娠懷身也緍亡巾切娠音震又音身竇音豆
歸于有仍	后緍有仍氏女
生少康焉爲仍牧正	牧官之長少詩照切長丁丈切
惎澆能戒之	惎毒也戒備也惎音忌
澆使椒求之	椒澆臣
逃奔有虞爲之庖正以除其害	虞舜後諸侯也梁國有虞縣庖正掌膳羞之官頼此以得除己害庖歩交切
虞思於是妻之以二姚	思有虞君也虞思自以二女妻少康姚虞姓妻七計切姚芉昭切
而邑諸綸	綸虞邑綸音倫
有田一成有衆一旅	方十里爲成五百人爲旅
能布其德而兆其謀	兆始
以收夏衆撫其官職	襄四年傳曰靡自有鬲氏􁑏二國之燼以滅浞而立少康鬲音革燼徐刃切又秦刃切
使女艾諜澆	女艾少康臣諜候也女如字又音汝艾五蓋切諜音牒
使季杼誘豷	豷澆弟也季杼少康子后杼也杼直吕切豷許器切
遂滅過戈復禹之績	過澆國戈豷國過戈並古禾切績一本作迹
祀夏配天不失舊物	物事也
今呉不如過而越大於少康或將豐之不亦難乎	言與越成是使越豐大必爲呉難難乃旦切
句踐能親而務施施不失人	所加惠賜皆得其人施始䜴切
親不棄勞	推親愛之誠則不遺小勞
與我同壤而丗爲仇讎於是乎克而弗取將又存之違天而長寇讎	猶言天與不取長丁丈切
後雖悔之不可食巳	食消也已止也
姬之衰也日可俟也	姬呉姓言可計日而待俟本又作娭音仕
介在蠻夷而長寇讎以是求伯必不行矣弗聽退而告人曰越十年生聚而十年敎訓	生民聚財富而後敎之介音界伯如字又音霸聚才喻切又如字
二十年之外呉其爲沼乎	謂吳宫室廢壞當爲汙池爲二十二年越入呉起本沼之兆切汙音烏
三月越及呉平呉入越不書呉不告慶越不告敗也	嫌夷狄不與華同故復發傳復扶又切
○夏四月齊侯衛侯救邯鄲圍五鹿	趙稷以邯鄲叛范中行氏之黨也五鹿晉邑邯音寒鄲音丹
○呉之入楚也	在定四年
使召陳懷公懷公朝國人而問焉曰欲與楚者右欲與呉者左陳人從田無田從黨	都邑之人無田者隨黨而立不知所與故直從所居田在西者居右在東者居左
逢滑當公而進	當公不左不右滑于八切
曰臣聞國之興也以福其亡也以禍今呉未有福楚未有禍楚未可棄呉未可從而晉盟主也若以晉辭呉若何公曰國勝君亡非禍而何	楚爲呉所勝
對曰國之有是多矣何必不復小國猶復況大國乎臣聞國之興也視民如傷是其福也	如傷恐驚動
