text,KRP zhengwen,zhengwen alternative,KRP SBCK,注/傳/學/集解 attribution by LDM
Zhouyi,KR1a0001,,KR1a0006,"王弼, 韓康伯 (繫辭, 說卦)"
Shangshu,KR1b0001,,KR1b0002,(pseudo-)孔安國
Maoshi/Shijing,KR1c0001,,KR1c0002,鄭玄
Zhouli,KR1d0001,,KR1d0002,鄭玄
Yili,,CH1e0873,KR1d0026,鄭玄
Liji,KR1d0052,,KR1d0054,鄭玄
Zuozhuan,KR1e0001,,KR1e0002,杜預
Gongyang zhuan,,CH1e0877,KR1e0007,何休
Guliang zhuan,KR1e0008,,KR1e0009,范甯
Xiaojing,KR1f0001,,KR1f0002,鄭玄
Lunyu,KR1h0004,,KR1h0005,何晏
Laozi/Daodejing,KR5c0057,,KR5c0065,河上公
Zhuangzi,KR5c0126,,KR5c0051,郭象
Erya,,?,KR1j0002,n/a
